year,make,model,trim,body,transmission,state,odometer,color,sellingprice,odometer_custom
2012,Nissan,Rogue,SV,suv,automatic,tn,51529.0,black,15200.0,40k-60k
2013,Chevrolet,Equinox,LS,suv,automatic,oh,7758.0,gray,14400.0,0-20k
2014,Ford,Focus,SE,sedan,automatic,mo,30460.0,black,11500.0,20k-40k
2014,Chevrolet,Express Cargo,1500,van,automatic,ca,12432.0,white,19500.0,0-20k
2012,Nissan,Altima,2.5,sedan,automatic,fl,37478.0,black,13400.0,20k-40k
2013,Acura,RDX,Technology Package,suv,automatic,ca,25836.0,gray,29500.0,20k-40k
2014,Subaru,Outback,2.5i Premium PZEV,wagon,automatic,fl,21075.0,silver,23800.0,20k-40k
2014,Ford,Flex,SEL,wagon,automatic,wi,55910.0,gray,20200.0,40k-60k
2014,Ford,Focus,SE,hatchback,automatic,ca,38760.0,red,12800.0,20k-40k
2011,Hyundai,Sonata,SE,sedan,automatic,in,65463.0,black,11200.0,60k-80k
2011,Infiniti,M56,x,sedan,,pa,46948.0,black,26250.0,40k-60k
2011,BMW,3 Series,328i xDrive,sedan,automatic,wa,25088.0,blue,20000.0,20k-40k
